                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.73663,                0.40476,                0.90715,                0.97304,                0.99018,                0.98673,                0.79244,                 0.7956,                0.34185,                0.92458,             0.00029985,             0.00029985,             0.00029985
                    102,                0.71835,                0.40438,                0.90464,                   0.98,                0.98901,                0.98544,                0.79999,                0.78637,                0.34379,                0.92092,             0.00029694,             0.00029694,             0.00029694
                    103,                0.72301,                0.39932,                0.91218,                 0.9808,                0.99204,                 0.9887,                0.79461,                0.80336,                0.34908,                0.92653,             0.00029403,             0.00029403,             0.00029403
                    104,                0.72374,                0.39843,                0.91401,                0.98036,                0.98542,                0.98731,                0.79051,                0.81626,                0.35761,                0.93083,             0.00029112,             0.00029112,             0.00029112
                    105,                0.73899,                0.40589,                0.91557,                0.98314,                0.98711,                0.98614,                0.79127,                0.80136,                0.34501,                0.92564,             0.00028821,             0.00028821,             0.00028821
                    106,                0.73555,                0.39951,                0.91697,                0.98243,                0.98985,                0.98738,                0.81157,                0.76579,                0.33035,                0.91762,              0.0002853,              0.0002853,              0.0002853
                    107,                0.73868,                0.40209,                0.91253,                0.97487,                0.98164,                0.98758,                0.79304,                0.82374,                0.35727,                0.95196,             0.00028239,             0.00028239,             0.00028239
                    108,                0.74038,                 0.3965,                0.91793,                0.97851,                0.99086,                0.98928,                0.80736,                0.79578,                0.34917,                0.92754,             0.00027948,             0.00027948,             0.00027948
                    109,                0.73913,                0.40605,                0.91288,                0.97743,                0.97564,                0.98784,                0.79429,                 0.8199,                0.35699,                0.93616,             0.00027657,             0.00027657,             0.00027657
                    110,                0.73167,                0.39307,                0.91044,                0.97203,                0.99138,                0.98583,                0.80046,                 0.7954,                0.35242,                0.92535,             0.00027366,             0.00027366,             0.00027366
                    111,                0.71066,                0.38764,                0.90264,                0.97083,                0.99301,                0.98816,                0.79789,                0.80264,                0.34643,                0.92193,             0.00027074,             0.00027074,             0.00027074
                    112,                0.71405,                0.38617,                0.89827,                0.97436,                0.99163,                 0.9916,                0.80839,                0.77842,                0.33856,                0.91447,             0.00026783,             0.00026783,             0.00026783
                    113,                0.73183,                0.39981,                0.91433,                0.97917,                0.98811,                0.98791,                0.80972,                0.77515,                0.33832,                0.91803,             0.00026492,             0.00026492,             0.00026492
                    114,                0.71575,                0.38628,                0.90743,                0.97596,                 0.9896,                0.98554,                0.80481,                0.79797,                 0.3408,                0.92971,             0.00026201,             0.00026201,             0.00026201
                    115,                0.71146,                0.39183,                0.90435,                0.97539,                0.99057,                0.98517,                0.80321,                0.79482,                0.33952,                0.92398,              0.0002591,              0.0002591,              0.0002591
                    116,                0.71306,                0.38326,                0.89734,                0.98037,                0.98414,                0.98666,                 0.8018,                0.81381,                0.34872,                0.93749,             0.00025619,             0.00025619,             0.00025619
                    117,                0.75428,                0.40381,                 0.9111,                0.97474,                0.99094,                0.98914,                0.80405,                0.79891,                0.35118,                0.92504,             0.00025328,             0.00025328,             0.00025328
                    118,                0.71387,                0.38755,                0.90434,                0.97547,                0.98904,                0.98856,                0.80092,                0.80286,                0.34214,                0.92683,             0.00025037,             0.00025037,             0.00025037
                    119,                0.72935,                0.38597,                0.90099,                0.97867,                0.98423,                0.98775,                0.80164,                0.80411,                0.34486,                 0.9328,             0.00024746,             0.00024746,             0.00024746
                    120,                0.71222,                0.38393,                0.90001,                0.98435,                0.98796,                0.98933,                0.79017,                0.84665,                0.35019,                0.95091,             0.00024455,             0.00024455,             0.00024455
                    121,                0.71254,                0.38186,                0.90094,                0.98176,                0.98825,                0.98808,                0.80419,                0.78908,                0.33829,                0.92307,             0.00024164,             0.00024164,             0.00024164
                    122,                0.70196,                0.37903,                0.90039,                   0.97,                0.98979,                0.98802,                0.80292,                0.78157,                0.33397,                0.92162,             0.00023873,             0.00023873,             0.00023873
                    123,                0.69993,                0.37902,                0.90846,                 0.9733,                0.98437,                 0.9885,                0.80334,                0.78544,                0.33537,                0.92253,             0.00023582,             0.00023582,             0.00023582
                    124,                0.69276,                0.37889,                0.90079,                0.98039,                0.98953,                0.98826,                  0.805,                0.80348,                0.33278,                0.92643,             0.00023291,             0.00023291,             0.00023291
